ID,ChallengeName,Categorie,Points,Description,Difficulty,Hint1,Hint2,Hint3,Static,FormatedChallengeName,Chain,IsStatic
1,Solana Assets,Web Challenge,250,You found the self-hosted website of your neighbor and noticed that it is a crypto wallet. Use basic web knowledge to get access to their wallet.,Easy,You can use web tools to view the HTML source code.,Web tools provide a function to inspect the web storage.,The web storage function allows you to see the content of all saved cookies.,R^@LgvG5QD,solana-assets,0,0
2,The SQL Heist,Web Challenge,250,You are on a news webpage but want to access information that is not easily available through the search function.,Easy,You can do something special with the search function.,Maybe the website uses a database in the backend. Did the developer secure it properly?,Consider trying an SQL injection.,NQ^D@zd$q6,the-sql-heist,0,0
3,File And Seek,Web Challenge,250,This is a new website created by some students from HTL Mössingerstraße. Use a tool to find a hidden file. The file contains some information about crypto; take a good look.,Medium,The student provides more on their website than you might think.,There may be hidden files; try changing the URL.,You can use FUZZ to find hidden files.,#74q$j&zcB, file-and-seek,0,0
4,Shadow Files,Web Challenge,1000,This is a new website created by some students from HTL Mössingerstraße. Use a tool to find a hidden file. The file contains some information about crypto; take a good look. Some other information might help you assemble the flag.,Hard,The student provides more on their website than you might think.,There may be hidden files; try changing the URL.,The student manipulated the IDs. Another number may provide additional information.,t9gE6@W!Nz,shadow-files,0,0
5,Pixel Spy,Web Challenge,250,A hacker displays a photo of himself on his page. Find some special information.,Easy,You might take a closer look at the image.,Have you tried using EXIF tools already?,You can use a web tool to view the metadata.,T1#mXeG24B,pixel-spy,0,0
6,Mental Overflow,Reverse Engineering,500,You have a special project. Maybe you can figure out what this file does.,Medium,The script is written in Brainfuck.,The script might be broken.,The script is broken. Try to fix it on your own :).,#8W@3fp5#Y,mental-overflow,0,0
7,Behind the Pixels,Forensics,250,"In this challenge, you were tasked to find the flag within a picture. Good luck!",Easy,Every file has a story to tell; some just need the right tool to read them.,Information can be stored where you least expect it—try checking the metadata.,"Comments aren’t just for conversations; sometimes, they hide secrets.",Wi3dS#ld!k,behind-the-pixels,0,0
8,Profile Prodigy - Part 1,OSINT,250,"Your mission is to uncover the first flag hidden within information related to Tanja Alina Weiss. Somewhere in the details provided, a flag is subtly concealed. The flag could appear in unexpected places, so stay sharp!",Easy,A profile can hold more than just pictures; connections matter.,Tags can tell a story—follow them to uncover the next clue.,"Sometimes, the most important details aren’t in the image itself but in what’s linked to it.",dogmom_adventure,profile-prodigy,0,1
9,Profile Prodigy - Part 2,OSINT,250,Identify the destination that Tanja considers her most favorite place she has visited so far.,Easy,"People often share their favorite spots, but you might have to read between the lines.",A favorite place is worth mentioning; find where it’s written.,Comments can be just as revealing as posts—look closely at what’s being said.,Budapest,profile-prodigy,8,1
10,Profile Prodigy - Part 3,OSINT,250,Uncover her birthday. The answer may require careful deduction and attention to detail. Submit your findings in the format FF{DD-MM-YYYY}.,Easy,A username is more than just a name—it might hold important numbers.,The bio can reveal more than you think; age is just a clue to the bigger picture.,Connect the dots.,07-06-1999,profile-prodigy,9,1
11,Time Traveler's Hunt - Part 1,OSINT,250,"The time traveler’s first clue is hidden in plain sight on their old blog. The blog was hosted at www.faketimemachine.rf.gd, but it has since vanished. Use your time machine to recover their lost notes and find the first piece of the time capsule.",Easy,Maybe you can find any kind archive in the internet?,Your time machine is named archive.org ...,Have a better look at the source.,YouPassedTheTest,time-travelers-hunt,0,1
12,Time Traveler's Hunt - Part 2,OSINT,500,"Great work, traveler! You’ve found the first piece of the time capsule. But the next clue is more subtle. The second flag is hidden deeper within the echoes of the blog—inspect it carefully.",Medium,"Maybe you can find some images, that aren't that easy to access.",Have a look at the hidden directories.,dirbuster is a great tool.,timemachine1,time-travelers-hunt,11,1
13,Time Traveler's Hunt - Part 3,OSINT,500,You’re almost there! The third and final piece of the time capsule requires your problem-solving skills.,Medium,There should be other files than the images.,Everyone knows Jack the Ripper.,There are a lot of simple tools to find something.,itsasecret,time-travelers-hunt,12,1
14,Git Secrets: Layers of Discovery - Part 1,OSINT,250,"The infamous PhantomCoder0916 has been hiding encrypted messages in their Git repository, PhantomCode. Your mission is to track down and uncover these secrets before they disappear forever. Each clue brings you closer to understanding what PhantomCoder0916 is up to. A strange commit appeared in the PhantomCode repository. Rumors say it contains a secret message, but it's buried among countless fake commits. Can you find what PhantomCoder0916 was trying to communicate?",Easy,"Sometimes, the answer is hiding in plain sight.",Small details can make a big difference.,Search commit messages carefully—one of them hides the truth.,541-d310a87159,git-secrets-layers-of-discovery,0,1
15,Git Secrets: Layers of Discovery - Part 2,OSINT,500,A crucial file once existed in the repository but was mysteriously deleted. What was in it? Why did PhantomCoder0916 erase it? Your task is to retrieve what was lost before it's gone for good.,Medium,Don’t overthink it—sometimes the simplest answer is the right one.,A simple search can reveal more than you think.,Look through the commit history to find traces of the missing file.,STAR_VEEXf,git-secrets-layers-of-discovery,14,1
16,Git Secrets: Layers of Discovery - Part 3,OSINT,500,"Not all secrets are erased—some are cleverly hidden in plain sight. PhantomCoder0916 has been marking important milestones in the repository, but one of these marks conceals something unusual. Can you find the hidden message?",Medium,Git doesn't only consists of commits and their history.,Try harder!,Examine the tags carefully. One of them contains a secret.,TagMeIfYouCan,git-secrets-layers-of-discovery,15,1
17,Git Secrets: Layers of Discovery - Part 4,OSINT,500,Someone has been tampering with the repository—an unknown user who shouldn’t have access. But who is it? PhantomCoder0916 may have created a fake identity to cover their tracks. Find the imposter and expose their email address to uncover the final piece of the puzzle. Submit your findings in the format FF{email-address},Medium,Try different approaches; there's more than one way to solve a problem.,Ask yourself: ‘What would a beginner miss?’,Investigate the commit authors. One of them doesn’t belong.,angle.writer@gmail.com,git-secrets-layers-of-discovery,16,1
18,Hidden Job - Part 1,Web Challenge,250,You stumbled upon a flyer… but is the organization behind it hiding something?,Easy,Could the flyer be hiding something more?,What if the first flag holds the key to the second?,"Run east, and you just might stumble upon a hidden boss.",N0oN3Kn0W2!,hidden-job,0,0
19,Hidden Job - Part 2,Web Challenge,500,You stumbled upon a flyer… but is the organization behind it hiding something?,Medium,Could the flyer be hiding something more?,What if the first flag holds the key to the second?,"Run east, and you just might stumble upon a hidden boss.",#74q$j&zcB,hidden-job,0,0
